URL,Film Name,Screening type,Date,Time,Venue,City
https://festival.sundance.org/program/film/656a03cb842a921789cd371a,Winner,Screening,Jan 23,4:30 PM MST,Eccles Theatre,Park City
https://festival.sundance.org/program/film/656a03cb842a921789cd371a,Winner,Screening,Jan 28,6:30 PM MST,Megaplex Theatres at The Gateway - Theater 8/9,Salt Lake City
https://festival.sundance.org/program/film/6576160f2775904121c97b3c,World Cinema Documentary Special Jury Award #1,Award Winner,Jan 27,12:30 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/film/657616462775900e60c97b9c,World Cinema Documentary Special Jury Award #2,Award Winner,Jan 27,4:00 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/film/657616be27759031bbc97c31,World Cinema Dramatic Special Jury Award #1,Award Winner,Jan 27,2:30 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/6576172f27759059dac97cb9,World Cinema Dramatic Special Jury Award #2,Award Winner,Jan 27,11:00 AM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/65750308e8eef553d219fd76,World Cinema Grand Jury Prize: Documentary,Award Winner,Jan 27,4:30 PM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/65750379e8eef54af819fddf,World Cinema Grand Jury Prize: Dramatic,Award Winner,Jan 27,8:00 PM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/6569ff37fac9f46eddc03bcb,Your Monster,Premiere,Jan 18,10:15 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/6569ff37fac9f46eddc03bcb,Your Monster,Screening,Jan 19,8:30 PM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/6569ff37fac9f46eddc03bcb,Your Monster,Screening,Jan 20,7:30 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/film/6569ff37fac9f46eddc03bcb,Your Monster,Screening,Jan 25,4:30 PM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/6569ff37fac9f46eddc03bcb,Your Monster,Screening,Jan 26,9:00 PM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/656a03bb842a92bf7ecd36f2,àma Gloria,Premiere,Jan 23,11:00 AM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/656a03bb842a92bf7ecd36f2,àma Gloria,Screening,Jan 23,10:00 PM MST,Megaplex Theatres at The Gateway - Theater 8/9,Salt Lake City
https://festival.sundance.org/program/film/656a03bb842a92bf7ecd36f2,àma Gloria,Screening,Jan 26,10:00 AM MST,Holiday Village Cinemas - 2,Park City
https://festival.sundance.org/program/film/656a03bb842a92bf7ecd36f2,àma Gloria,Screening,Jan 27,11:30 AM MST,Redstone Cinemas - 2,Park City
https://festival.sundance.org/program/film/656a03bb842a92bf7ecd36f2,àma Gloria,Screening,Jan 28,1:30 PM MST,Megaplex Theatres at The Gateway - Theater 6,Salt Lake City
